trial,score,rsi_buy_min,rsi_buy_max,pullback_volume_min,require_pullback_macd_rising,trend_rsi_min,trend_rsi_max,trend_volume_min,breakout_lookback,ml_probability_min,stop_loss_pct,pullback_take_profit_pct,trend_trailing_stop_pct,cooldown_bars,minimum_hold_bars,max_hold_bars,pullback_rsi_sell,trend_macd_down_bars,require_positive_long_trend,block_high_volatility,atr_percentile_limit,fold_1_return,fold_2_return,fold_3_return,fold_4_return
80,-123.76414321742494,41.607705761505734,64.65076122207286,0.9123211636665952,False,59.7124082373363,78.2302246827732,1.2377525741656172,18,0.5245914149696029,0.0169842977660938,0.021078693640543645,0.016093780653602667,3,2,90,58.72548106734679,2,True,False,0.8169152137590596,0.06532472309999093,0.0,0.0,0.0
81,-123.7529562811842,35.4645992831617,64.85908712583114,1.1021136027345613,False,60.19418162839366,76.71490046746675,0.8842396752879869,18,0.5107323035992712,0.014651193358951667,0.025231971153411602,0.02025914714182726,12,6,70,63.0349378016789,3,True,False,0.809051102915629,-0.013654477899993633,0.0,0.0,0.0
82,-123.7529562811842,36.07646685746688,63.35022842904735,1.2224804292206275,False,60.442552805025166,77.09990156005856,0.9343225734734061,18,0.5137859186609337,0.014737601404610494,0.02615035434458383,0.01977965052750462,5,6,65,62.41615283637356,4,True,False,0.8386198288368703,-0.013654477899993633,0.0,0.0,0.0
83,-123.7529562811842,38.04018543157213,64.10504180834974,0.9781753712694434,False,61.30404721366674,76.67593174740766,0.9005572174309043,18,0.5063915205150199,0.013654595382426383,0.02266927816381227,0.021108248955820894,5,6,56,61.2109284916088,3,True,False,0.8226042616971612,-0.013654477899993633,0.0,0.0,0.0
84,-123.7529562811842,36.17522950033788,62.17470944891454,1.1384346450787817,False,60.77467536310475,77.03172806665782,0.9599496353227792,18,0.5219576602676982,0.0150215827084409,0.027098731523776086,0.02027825500902396,6,6,70,61.84248489252418,2,True,False,0.8136651615817871,-0.013654477899993633,0.0,0.0,0.0
85,-125.0,34.03803915161039,62.8692988978391,1.165647944857406,False,51.28966730425977,75.88249428221297,0.9170674005661499,18,0.5302941179941473,0.014295262901733715,0.021402143489914007,0.018822450464784035,4,5,82,59.63926852048641,4,True,False,0.8032654286043699,0.0,0.0,0.0,0.0
86,-123.7529562811842,40.5421591047359,64.98395968032135,1.0771027888040527,False,59.44905077871652,78.6324748822488,0.8649143386683702,12,0.5005457275167005,0.013086075995822823,0.023466580618901705,0.021933973961974277,5,6,96,60.801455752348176,3,True,False,0.8688301946662684,-0.013654477899993633,0.0,0.0,0.0
87,-125.0,38.78514694436881,63.62074481820993,1.0457073907057128,False,55.81758034640325,76.5104847823029,0.8941532312789668,18,0.5172767636919542,0.015568852189922273,0.0291348291572923,0.01808373839951384,6,6,62,63.68652569644731,2,False,True,0.8440207330809486,0.0,0.0,0.0,0.0
88,-125.0,42.64810050794589,64.33442252500681,1.0961077971458069,False,61.02845116203207,78.44300184978194,0.9933954680288881,18,0.540373626425997,0.013957835126747396,0.025725544742472774,0.019448329521991006,7,5,75,63.127031908177834,2,True,False,0.8339820489512955,0.0,0.0,0.0,0.0
89,-123.76414321742494,37.00539028359385,61.55341621800469,1.0067930962866956,False,58.46388572659834,77.88940436998118,1.319461325035712,6,0.5102709183060851,0.016031885426663763,0.01928725630610381,0.022607514149846394,4,4,49,60.115502040817766,2,True,False,0.790754640993707,0.06532472309999093,0.0,0.0,0.0
90,-123.76784040631341,40.906117694152066,64.49290577242368,1.1219614808590166,False,61.690655535134574,77.42071841547379,0.9384066465795607,18,0.5266849058705176,0.014961413938273115,0.024462840992177992,0.011463476218137142,11,7,99,66.11726323412756,2,True,False,0.8102827211736444,0.0824013070999996,0.0,0.0,0.0
