trial,robust_score,train_score,validation_score,param_rsi_buy_min,param_rsi_buy_max,param_rsi_sell,param_relative_volume_min,param_macd_hist_min,param_require_rsi_rising,param_require_volume_rising,param_require_macd_rising,param_use_15m_confirmation,param_rsi_15m_min,param_relative_volume_15m_min,param_macd_hist_15m_min,param_required_15m_rising,param_stop_loss_pct,param_take_profit_pct,param_use_trend_entry,param_trend_rsi_min,param_trend_rsi_max,param_trend_relative_volume_min,param_trend_breakout_lookback,train_total_return_pct,train_max_drawdown_pct,train_number_of_trades,train_win_rate_pct,train_profit_factor,train_average_trade_return_pct,train_average_holding_minutes,train_minimum_holding_minutes,train_maximum_holding_minutes,train_average_holding_bars,validation_total_return_pct,validation_max_drawdown_pct,validation_number_of_trades,validation_win_rate_pct,validation_profit_factor,validation_average_trade_return_pct,validation_average_holding_minutes,validation_minimum_holding_minutes,validation_maximum_holding_minutes,validation_average_holding_bars
1448,0.9703760666907981,-7.499208542788795,2.845178202387997,30.18286252939533,43.39508954642701,75.30474365894966,1.1448035905909804,0.0,False,True,False,True,60.91624525041639,1.1771533598556085,0.0,True,0.015,0.01,True,53.51521734674684,73.45036663834865,0.8810567574357357,18,0.5567556942168927,-8.86169902366275,42,52.38095238095239,1.035693663302469,0.017726284921496346,116.07142857142857,0.0,3945.0,4.5,1.7968740879461542,-1.968076625114168,17,47.05882352941176,1.5981489501642117,0.10645197277990129,36.470588235294116,5.0,80.0,7.294117647058823
2785,0.9702997053978306,-1.5587634944798285,1.3599905790177877,33.243304384779755,47.957109277048964,81.69869846270788,1.520771373194692,0.0,False,False,False,False,49.53899865742209,1.205275509384749,0.0,False,0.02,0.03,True,53.78043389581408,73.41024142913074,1.1720381975896244,24,6.470220980203734,-9.26845525554334,158,46.20253164556962,1.088355974556148,0.04782217020175835,316.7088607594937,0.0,5410.0,10.063291139240507,8.560962944967443,-8.666601657634331,68,39.705882352941174,1.4387747060229568,0.12635244583762056,474.4852941176471,5.0,5485.0,10.102941176470589
3116,0.9702221675083145,-19.048194212631127,5.732270720666096,46.88319457424011,58.782291486025436,74.92312648708108,1.9194643662493425,-0.01,False,False,True,False,57.30634853591023,1.3599384468630382,0.0,False,0.02,0.015,True,52.151290330472555,77.43041158622329,1.3932580812558895,18,-6.966698523682268,-12.346587210437033,177,50.847457627118644,0.8898594477033722,-0.03675231524799615,136.94915254237287,0.0,3980.0,5.762711864406779,7.074051151474037,-4.309194986895381,71,56.33802816901409,1.4719684929540031,0.09881944958828576,71.47887323943662,5.0,1125.0,5.422535211267606
1344,0.9682323196326221,-24.01917525076035,6.97302613232271,36.46636736043751,50.13168167629707,64.82833399979604,1.6225261701623621,-0.01,True,True,True,False,57.34899827906396,1.1900578799524681,0.0,False,0.005,0.01,True,48.83091360899497,75.63258776390597,1.4411947954327227,24,-10.547333677440019,-13.167530327068055,211,45.023696682464454,0.7247316012436338,-0.05196160989445804,34.5260663507109,0.0,3955.0,1.1895734597156398,5.286949034228883,-2.0385586653346,68,48.529411764705884,1.7224581296453063,0.07669210981149904,103.01470588235294,0.0,5445.0,1.7205882352941178
3532,0.9635169744467904,-0.24646046816674005,1.7821960555502903,39.546329090321095,47.83026523873308,78.64888117135244,1.2178062741931812,0.0,True,False,True,True,42.827015501180405,1.2892488709943075,-0.01,False,0.025,0.04,True,58.47095298951144,74.90609371574871,0.8858680773744708,6,6.293026380246269,-7.95850462376958,54,46.2962962962963,1.2951453369153592,0.12170636328323603,204.44444444444446,5.0,3985.0,7.888888888888889,2.507706559937195,-3.351583573332606,21,47.61904761904761,1.5343920065985999,0.12193202317600475,88.0952380952381,5.0,1095.0,7.619047619047619
1635,0.9608484255244498,-9.326606228059005,3.292499982539201,33.01171211359883,64.85323041191104,78.81783531782598,0.9370508446836439,0.0,True,False,True,True,50.05475442234037,1.3782788951403449,0.0,False,0.0125,0.05,True,49.55160495363664,74.83905540218782,1.1691514079101792,24,-1.2165928727302489,-8.628678607954232,41,43.90243902439025,0.9251907494174848,-0.024209643936596404,280.7317073170732,0.0,4025.0,7.560975609756097,1.7825730250683458,-1.7116180491971833,15,53.333333333333336,1.6218552348671118,0.12010097575473482,37.333333333333336,5.0,80.0,7.466666666666667
3410,0.9558981882818438,-11.367446231745067,3.7977597462181105,41.67998386564406,65.43881623351052,81.8615565684521,1.1902939660741174,-0.01,False,False,False,True,40.07726878484658,0.9586840399454956,0.0,False,0.01,0.0075,True,59.66926954163357,72.97190110969449,1.288084762892827,18,-3.310108643401577,-9.072036016605011,99,47.474747474747474,0.8954749886118825,-0.03165543752102006,45.4040404040404,0.0,1085.0,4.838383838383838,2.9054320184764615,-2.1492613356957735,24,50.0,1.5592695982409102,0.12145852352577526,72.5,0.0,1105.0,5.75
4101,0.952839425080585,-17.683525439819373,5.373720785035428,40.642450269065726,50.52264546056179,72.92151865823688,1.6056923214940908,0.0,False,False,True,False,40.1710857956215,0.9302557019041537,0.0,False,0.0125,0.0075,True,51.84898466093014,67.0152899751267,1.366951227374761,24,-7.566014898385964,-10.042413869946177,55,43.63636363636363,0.6751863488480265,-0.14002696409409765,216.72727272727272,0.0,3955.0,6.1454545454545455,3.1161198824635417,-1.8155469522815992,15,60.0,2.118023061949257,0.20703389670670166,429.0,0.0,3960.0,5.4
1255,0.9431028800680612,-7.864622883986929,2.9092586010647934,37.91445722316363,60.16979559996851,68.44520331532468,0.9014193505634112,0.0,False,False,True,True,61.380888847110405,0.9835224881613146,0.0,False,0.005,0.01,True,59.23450802804426,79.66665334792918,1.3656312205624406,6,-2.673368908745788,-6.766124363016179,151,47.019867549668874,0.8840027516904709,-0.017200224705778113,45.2317880794702,0.0,3935.0,1.0596026490066226,2.048752425260858,-2.1919525904012582,54,55.55555555555556,1.2995572017962644,0.03825268610507557,5.925925925925926,0.0,25.0,1.1851851851851851
4271,0.9368927241449461,-15.58165537637792,4.832306568239426,43.61001108700565,55.73862153073064,74.31042555689112,1.9173822122242106,-0.01,False,False,False,False,53.35756398819193,0.8440814798818328,-0.01,True,0.0125,0.025,True,51.663826665351806,66.22437334830798,1.3577589935470722,18,-5.710310135862895,-9.567484701145068,41,34.146341463414636,0.6633892044320099,-0.1398353998283518,116.46341463414635,5.0,1110.0,7.926829268292683,3.7491765327254623,-2.2677285122136293,11,36.36363636363637,2.053678632338849,0.3436635237407014,584.0909090909091,0.0,3945.0,7.181818181818182
