trial,robust_score,train_score,validation_score,param_rsi_buy_min,param_rsi_buy_max,param_rsi_sell,param_relative_volume_min,param_macd_hist_min,param_require_rsi_rising,param_require_volume_rising,param_require_macd_rising,param_use_15m_confirmation,param_rsi_15m_min,param_relative_volume_15m_min,param_macd_hist_15m_min,param_required_15m_rising,param_stop_loss_pct,param_take_profit_pct,train_total_return_pct,train_max_drawdown_pct,train_number_of_trades,train_win_rate_pct,train_profit_factor,train_average_trade_return_pct,validation_total_return_pct,validation_max_drawdown_pct,validation_number_of_trades,validation_win_rate_pct,validation_profit_factor,validation_average_trade_return_pct
1089,-20.09409922175821,-19.978542762272152,-15.099463531190171,26.684552575058547,42.84228849063244,77.61495425399725,1.0555401855263584,0.0,False,False,True,False,43.93632757186747,1.1502430062674922,0.0,True,0.025,0.0075,-9.018815076162278,-10.353205681462951,52,32.69230769230769,0.5386221745817749,-0.1792872590078833,-6.747563984816463,-7.6134828707563384,16,31.25,0.253302694714478,-0.4333180736777873
2005,-20.11569509820873,-25.56766847102743,-13.723777980451871,25.216566983862638,49.949561941588435,66.9733131281606,1.1576661071613974,-0.01,False,False,True,False,44.620822525911464,1.2165005762260312,-0.01,False,0.01,0.015,-10.60956109978315,-13.698225150642884,70,28.57142857142857,0.5954969970871675,-0.1573698521054849,-5.811882516009936,-7.376152407435887,23,26.08695652173913,0.37103727627876043,-0.25849757530591455
2406,-20.14443590996565,-14.720195990553057,-16.321545331082703,33.02382262549722,59.49630796297102,72.2589581296242,0.9408849942043629,0.0,True,False,True,False,44.56735829703222,1.263010772924892,0.0,False,0.0125,0.03,-6.901090225802253,-8.619198379518345,178,32.58426966292135,0.8688045442591348,-0.03710793109656296,-7.615298132025683,-8.814858967156102,70,35.714285714285715,0.5986938637349275,-0.11130944157051928
2464,-20.153211194026888,-30.605349721590112,-12.50187376362936,28.154775726948884,54.40080303346043,61.561234328423595,1.1817267715719335,0.0,False,False,True,False,40.847824561406604,1.1200948603197423,-0.01,False,0.025,0.03,-13.486672808575372,-15.731906265628105,97,30.927835051546392,0.6384328119929757,-0.14504242982884336,-5.714876478099851,-6.834594343006472,33,36.36363636363637,0.46598194397056897,-0.176389002238393
1312,-20.168627009243732,-29.378417686931318,-12.824022587510903,36.26875289499543,65.23277081295477,73.71411027113028,1.0872219255516724,0.0,False,False,False,False,43.65986808213796,0.8772907780336501,0.0,False,0.015,0.04,-13.264585470579915,-15.08920106470285,162,31.48148148148148,0.745359656598354,-0.08396589192068772,-4.546715703261494,-8.591222225977457,66,36.36363636363637,0.7162987806331246,-0.06880612244716695
2893,-20.17878285709994,-26.535528065567007,-13.544900840708188,30.293581744930307,46.327350872404296,72.78316667014452,1.0040222928168574,0.0,False,False,True,False,56.93917758756933,1.0919910005639555,0.0,False,0.0125,0.03,-11.402046376265783,-13.866278648523112,74,28.37837837837838,0.5945327025233993,-0.16002866796762444,-6.257774281530814,-6.448465518948765,18,22.22222222222222,0.09934059670942587,-0.35777634270391434
129,-20.25958456377063,-27.49395444360612,-13.386095952869102,28.95201117538018,51.63740889399522,69.14661178660805,1.2412214536045438,0.0,False,False,True,False,61.73651412827597,1.009027920525749,0.0,True,0.025,0.03,-9.83630310495921,-15.994061797023917,70,31.428571428571427,0.6709029860410373,-0.14241718896713101,-6.139639199399893,-6.79605046889884,18,33.33333333333333,0.26795977732511633,-0.3491814192268257
3992,-20.291964226462234,-22.962649060547086,-14.55130196132546,33.371207333016415,59.27182390113654,80.72110128133365,1.5412607849798265,-0.01,False,False,True,False,42.524381178219386,1.1572481835548802,0.0,True,0.025,0.015,-9.080821103229052,-12.762348184517357,50,34.0,0.5940715155524434,-0.18560777540231768,-6.008567826319888,-7.9203334460435375,19,36.84210526315789,0.287227044857128,-0.3233921995190716
3480,-20.302121220139934,-11.293088430109497,-16.71731905547696,33.89251562227137,49.27056902924404,61.41075347116667,0.9546722983075991,0.0,False,False,False,False,59.87096948552028,1.4051589163650176,-0.01,False,0.0075,0.02,-4.178375685405888,-8.043360610978556,94,36.17021276595745,0.850722509133625,-0.04305984435156376,-7.986025971083899,-8.049008574035433,28,28.57142857142857,0.3190260411484371,-0.29495245368946493
4872,-20.317584838072374,-18.61109558667891,-15.664810941402648,33.75421426151385,43.57393505121023,77.78118546518166,0.9192084069479134,0.0,False,False,True,False,43.9264344124054,1.3977008501837198,-0.01,False,0.02,0.0075,-8.003105745457095,-10.237282525336788,60,33.33333333333333,0.6146310991883354,-0.13667505512776976,-7.15417732729875,-7.8859702836530765,21,33.33333333333333,0.31344171586385494,-0.3494449100089665
4446,-20.331716680639737,-25.952263333713745,-13.8436508472113,37.32413360335025,60.46791752127655,80.35054449720755,1.0632519029147776,0.0,False,True,True,False,46.86168369067495,1.2688570287383532,0.0,False,0.02,0.05,-11.991789138291065,-13.050545715253037,93,26.881720430107524,0.5900490266943096,-0.1347914212023958,-6.65882960173988,-6.889374297785011,37,24.324324324324326,0.3802734268489054,-0.18485938737297483
1095,-20.340816718965744,-31.10029788381712,-12.565742248011464,28.557883206080277,65.21410016982259,80.67191708426537,1.1408579462006108,-0.01,False,False,True,False,59.412435624772556,1.0974744789139224,0.0,True,0.0075,0.015,-14.799530536902527,-15.083870709370128,153,29.411764705882355,0.643890497120282,-0.10291581090090648,-5.136310822844692,-7.933877891244534,71,36.61971830985916,0.6970143817944745,-0.07290399490163654
3448,-20.363838213347233,-27.922357134578984,-13.383248929702486,27.728414374442202,48.24111548056596,78.14343189655492,1.1834925919940178,0.0,False,False,False,False,46.54084413300292,0.8466332020505428,0.0,False,0.015,0.05,-12.660909325563452,-13.690206936952132,56,26.785714285714285,0.5037310509735659,-0.23711437616626477,-6.233186282881221,-6.42626109373955,16,25.0,0.1485091469021148,-0.40058845463307874
4107,-20.37699780220428,-27.32015083894229,-13.546960092468709,27.127355062445737,50.20096191984382,78.21368373587322,1.3498159598037478,0.0,False,False,True,False,60.21061039096789,1.4665941289255957,0.0,True,0.025,0.04,-10.330139134998085,-15.192157570965525,51,31.372549019607842,0.5751561862470289,-0.2077562167705578,-6.154914583599891,-6.805724749599906,16,31.25,0.22007361875404277,-0.3940455598255205
4234,-20.472268537294845,-31.579124615051246,-12.577487383532034,25.991450719705966,61.55711986017461,78.42152013335773,1.6982726547135505,0.0,False,False,True,False,46.23869926155609,1.4580718915113482,0.0,True,0.025,0.05,-11.986534493206113,-17.04880120248735,42,28.57142857142857,0.48465520655698935,-0.2954798398364141,-5.112764284239946,-7.18647344423996,17,41.17647058823529,0.3498928628287691,-0.3054616309939359
1735,-20.500046905084247,-23.223505960142727,-14.694170415048566,31.756621254075107,58.21886113594147,78.02544498090279,0.9009393403056666,0.0,True,False,False,False,61.44905864283099,0.8549340367249597,-0.01,False,0.015,0.0075,-11.574061450189054,-11.624906921720445,195,35.8974358974359,0.7758269494987764,-0.06134271098193619,-6.408721741642531,-8.610593820843738,69,37.68115942028986,0.6894469428285602,-0.09388115730644754
